Fiscal Year,US Category Name,US Sector Name,Current Dollar Amount,Activity Name,Implementing Partner Category Name,Implementing Partner Sub-category ID,Implementing Partner Name
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",1195631,RAPID (Responding to Pakistans Internally Displaced),NGO,NGO - United States,NGO - United States Redacted
2010,Program Support,Direct Administrative Costs,1166045,Administration and Oversight,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2010,Education and Social Services,Basic Education,1144150,Basic Education,Multilateral,Multilateral - United Nations,World Food Program
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",1142800,ITSH Freight Cost of USAID Title II Food Aid for Jacinto Prepositioning of Food Aid,Multilateral,Multilateral - United Nations,World Food Program
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",1137800,Commodity Cost of USAID Title II Food Aid for Other Emergency,Multilateral,Multilateral - United Nations,World Food Program
2010,Program Support,Direct Administrative Costs,1131201,Administrative costs,Enterprises,Enterprises - United States,Drexel Heritage Furniture Industries Inc.
2010,Program Support,Direct Administrative Costs,1067124,Administrative costs,Enterprises,Enterprises - Non United States,Enterprise - Non United States Redacted
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",1013700,Ocean Freight of USAID Title II Food Aid for Other Emergency,Multilateral,Multilateral - United Nations,World Food Program
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",1000000,Crisis Assistance and Recovery,Multilateral,Multilateral - United Nations,United Nations Office of Co-ordination of Humanitarian Affairs
2010,Health,Maternal and Child Health,1000000,"Health and Immunization Response Support (UNICEF Polio, EPI Grant)",Multilateral,Multilateral - United Nations,Multilateral - United Nations Organization Redacted
2010,Education and Social Services,Basic Education,1000000,FATA Livelihood Development Programs,NGO,NGO - United States,Academy for Educational Development
2010,Economic Development,Agriculture,1000000,Real Time Data Analysis And Research Capacity Building Toward Foot-And-Mouth Disease (FMD) Control In Pakistan,Government,Government - United States,U.S. Government - Department of Agriculture
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",993800,Ocean Freight of USAID Title II Food Aid for Djibouti Prepositioning of Food Aid,Multilateral,Multilateral - United Nations,World Food Program
2010,Peace and Security,Stabilization Operations and Security Sector Reform,989120,"DoD Excess Defense Articles, Grant Authority",Government,Government - United States,U.S. Government - Department of the Air Force
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",918221,Program Support (Protection),Enterprises,Enterprises - United States,Diplomat Group
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",905008,Integrated Afghan Refugee Assistance Program,NGO,NGO - United States,NGO - United States Redacted
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",903300,Ocean Freight of USAID Title II Food Aid for Other Emergency,Multilateral,Multilateral - United Nations,World Food Program
2010,Health,Nutrition,876014,Commodity Cost of Food Aid under Food For Education Program,Multilateral,Multilateral - United Nations,World Food Program
2010,"Democracy, Human Rights, and Governance",Good Governance,875000,Local Government and Decentralization,NGO,NGO - United States,InterNews
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",874437,Protection and Solutions,NGO,NGO - International,NGO - International Redacted
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",862900,ITSH Freight Cost of USAID Title II Food Aid for Djibouti Prepositioning of Food Aid,Multilateral,Multilateral - United Nations,World Food Program
2010,Economic Development,Agriculture,858255,FATA Livelihood Development Programs,NGO,NGO - United States,Academy for Educational Development
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",850793,"Community based primary and reproductive health services for Afghan refugees and host communities in Baluchistan, Pakistan",NGO,NGO - United States,NGO - United States Redacted
2010,Environment,Environment - General,850000,Restoration of the Early 17th-Century Sheikhupura Fort,Government,Government - United States,U.S. Government - Department of State
2010,Education and Social Services,Basic Education,841531,Basic Education,Multilateral,Multilateral - United Nations,"United Nations Educational, Scientific and Cultural Organisation"
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",782400,Commodity Cost of USAID Title II Food Aid for Jacinto Prepositioning of Food Aid,Multilateral,Multilateral - United Nations,World Food Program
2010,Economic Development,Agriculture,782006,Commodity Cost of Food Aid under Food For Progress Title I Program,Government,Government - Non United States,Government of Pakistan
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",770751,Transition Support Programming for Afghan Refugees in Baluchistan and Haripur,NGO,NGO - International,NGO - International Other
2010,Program Support,Direct Administrative Costs,767090,Administrative costs,Government,Government - United States,U.S. Government - Department of State
2010,"Democracy, Human Rights, and Governance",Good Governance,725970,Legislative Function and Processes,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",706773,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,NGO,NGO - Non United States,NGO - Non United States Redacted
2010,Program Support,Direct Administrative Costs,690202,Administrative costs,Enterprises,Enterprises - Non United States,Unspecified Vendors - Pakistan
2010,Program Support,Direct Administrative Costs,683173,Administrative costs,Enterprises,Enterprises - United States,Enterprise - United States Other
2010,Economic Development,Infrastructure,677884,Modern Energy Services,Enterprises,Enterprises - Non United States,Associates in Development Pvt. Ltd.
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",675000,Crisis Assistance and Recovery,NGO,NGO - United States,NGO - United States Redacted
2010,Health,Family Planning and Reproductive Health,656355,USAID |DELIVER,NGO,NGO - United States,John Snow International
2010,Program Support,Direct Administrative Costs,648552,Administrative costs,Enterprises,Enterprises - United States,International Business Machines Corp.
2010,Program Support,Direct Administrative Costs,648061,Administrative costs,Government,Government - United States,U.S. Government - U.S. Agency for International Development
2010,Program Support,Direct Administrative Costs,633778,Administration and Oversight,Enterprises,Enterprises - United States,Personal Services Contractors - USAID
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",630067,USAID redacted this field in accordance with the exceptions outlined in the Foreign Aid Transparency and Accountability Act of 2016.,NGO,NGO - International,NGO - International Redacted
2010,Program Support,Direct Administrative Costs,608172,Administration and Oversight,Enterprises,Enterprises - United States,Enterprise - United States Other
2010,Education and Social Services,Basic Education,607595,Education Sector Reform Support Program,Government,Government - Non United States,Government of Pakistan - Higher Education Commission
2010,Economic Development,Infrastructure,600000,Modern Energy Services,Enterprises,Enterprises - United States,"QED Group, LLC"
2010,Health,Water Supply and Sanitation,600000,FATA Livelihood Development Programs,NGO,NGO - United States,Academy for Educational Development
2010,Health,Maternal and Child Health,590194,Maternal and Child Health,Enterprises,Enterprises - United States,"Abt Associates, Inc."
2010,Education and Social Services,Social Assistance,579045,Social Assistance,Multilateral,Multilateral - United Nations,World Food Program
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",577100,Ocean Freight of USAID Title II Food Aid for Djibouti Prepositioning of Food Aid,Multilateral,Multilateral - United Nations,World Food Program
2010,"Democracy, Human Rights, and Governance",Civil Society,568665,Civic Participation,NGO,NGO - United States,Consortium for Elections and Political Process Strengthening
2010,Peace and Security,Stabilization Operations and Security Sector Reform,563400,"DoD Excess Defense Articles, Grant Authority",Government,Government - United States,U.S. Government - Department of the Air Force
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",555000,Ocean Freight of USAID Title II Food Aid for Other Emergency,Multilateral,Multilateral - United Nations,World Food Program
2010,Economic Development,Private Sector Competitiveness,550976,Business Enabling Environment,Enterprises,Enterprises - Non United States,Enterprise - Non United States Other
2010,Education and Social Services,Basic Education,545563,Integrated Managing for Results II (IMR2),Enterprises,Enterprises - United States,Management Systems International
2010,Peace and Security,Combating Weapons of Mass Destruction (WMD),542405,U.S. Department of State: Nonproliferation Assistance Programs - Export Control and Related Border Security Assistance (EXBS),Enterprises,Enterprises - United States,"Culmen International, LLC"
2010,Humanitarian Assistance,"Protection, Assistance and Solutions",536000,ITSH Freight Cost of USAID Title II Food Aid for Other Emergency,Multilateral,Multilateral - United Nations,World Food Program
